sp,TOTAL,Lagoa do Papagaio,Granja do Pântano,Caieira,Capão do Fundo,Lagoa do Rincão,Banhado da Alemoa,Lagoa do Sangradouro,Canal da Lagoa,PNLP - Banhado do balneário,PNLP - Trilha do Talhamar,PNLP - Barra da Lagoa,PNLP - praia,PNLP - Figueiras
Tryngites subruficollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philomachus pugnax,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steganopus tricolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARIDAE,, , , , , , , , , , , , , 
Larus atlanticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus dominicanus,858,0,0,0,0,0,0,0,0,0,120,77,661,0
Larus cirrocephalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus maculipennis,98,0,0,0,15,0,0,4,0,0,7,60,0,12
Larus atricilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna sandvicensis,60,0,0,0,0,0,0,0,0,0,0,0,60,0
Sterna maxima,8,0,0,0,0,0,0,0,0,0,0,0,8,0
Sterna dougallii,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna hirundinacea,139,0,0,0,0,0,0,0,0,0,0,100,39,0
Sterna hirundo,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Sterna paradisaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna vittata,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna trudeaui,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Sterna antillarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna superciliaris,5,0,3,0,0,0,0,0,0,0,0,2,0,0
Sterna fuscata,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlidonias niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaetusa simplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anous stolidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anous minutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RYNCHOPIDAE,, , , , , , , , , , , , , 
Rynchops niger,382,0,0,0,0,0,0,0,0,0,170,212,0,0
ACCIPTRIDAE,, , , , , , , , , , , , , 
Rostrhamus sociabilis,12,0,0,2,4,0,0,0,3,0,0,0,0,3
Circus buffoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALCONIDAE,, , , , , , , , , , , , , 
Milvago chimango,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milvago chimachima,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIRUNDINIDAE,, , , , , , , , , , , , , 
Tachycineta leucorrhoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTACILLIDAE,, , , , , , , , , , , , , 
Anthus lutescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthus correndera,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TYRRANIDAE,, , , , , , , , , , , , , 
Pitangus sulphuratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FURNARIIDAE,, , , , , , , , , , , , , 
Anumbius annumbi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furnarius rufus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
