sp,nome_pt,status,ref
Phleocryptes melanops,Bate-bico,R,(Nascimento 1995)
Spartonoica maluroides,Boininha,R,
Synallaxis spixi,João-teneném,R,
Cranioleuca sulphurifera,Arredio-de-papo-manchado,R,
Certhiaxis cinnamomeus,Curutiê,R,
Phacellodomus erythrophthalmus,João-botina,R,
Anumbius annumbi,Cochicho (Titirri),R/nd,(Nascimento 1995)
Syndactyla rufosuperciliata,Trepador-quiete,R,
TYRANNIDAE,,,
Elaenia flavogaster,Guaracava-de-barriga-amarela,R,
Elaenia obscura,Tucão,R,(Nascimento 1995)
Camptostoma obsoletum,Risadinha,R,(Nascimento 1995)
Serpophaga nigricans,João-pobre,R,(Nascimento 1995)
Tachuris rubrigastra,Papa-piri,S/nd,(Nascimento 1995)
Myiophobus fasciatus,Filipe,M,(Nascimento 1995)
Lathrotriccus euleri,Enferrujado,M,
Pyrocephalus rubinus,Príncipe,M,(Nascimento 1995)
Lessonia rufa,Colegial,S,(Nascimento 1995)
Knipolegus cyanirostris,Maria-preta-de-bico-azulado,R,(Nascimento 1995)
Hymenops perspicillatus,Viuvinha-de-óculos,S,(Nascimento 1995)
Satrapa icterophrys,Suiriri-pequeno,R,(Nascimento 1995)
Xolmis irupero,Noivinha,R/nd,(Nascimento 1995)
Arundinicola leucocephala,Freirinha,R,
Machetornis rixosa,Suiriri-cavaleiro,R,(Nascimento 1995)
Pitangus sulphuratus,Bem-te-vi,R/nd,(Nascimento 1995)
Tyrannus melancholicus,Suiriri,M,(Nascimento 1995)
Tyrannus savana,Tesourinha,M,(Nascimento 1995)
VIREONIDAE,,,
Cyclarhis gujanensis,"Gente-de-fora-vem, Pitiguari",R,
HIRUNDINIDAE,,,
Pygochelidon cyanoleuca,Andorinha-pequena-de-casa,R,
Alopochelidon fucata,Andorinha-morena,R,(Nascimento 1995)
Stelgidopteryx ruficollis,Andorinha-serradora,M,(Nascimento 1995)
Progne tapera (Phaeoprogne tapera),Andorinha-do-campo,M,(Nascimento 1995)
Progne chalybea,Andorinha-doméstica-grande,M,(Nascimento 1995)
Tachycineta albiventer,Andorinha-do-rio,M,(Nascimento 1995)
Tachycineta leucorrhoa,Andorinha-de-testa-branca,R,(Nascimento 1995)
Tachycineta meyeni [Tachycineta leucopyga],Andorinha-chilena,S,(Nascimento 1995)
Hirundo rustica,Andorinha-de-bando,N,(Nascimento 1995)
Petrochelidon pyrrhonota,Andorinha-de-sobre-acanelado,N,
TROGLODYTIDAE,,,
Troglodytes musculus (Troglodytes aedon),Corruíra,R,(Nascimento 1995)
POLIOPTILIDAE,,,
Polioptila dumicola,Balança-rabo-de-máscara,R,(Nascimento 1995)
TURDIDAE,,,
Turdus rufiventris,Sabiá-laranjeira,R,(Nascimento 1995)
Turdus amaurochalinus,Sabiá-poca,R,(Nascimento 1995)
Turdus albicollis,Sabiá-coleira,R,(Nascimento 1995)
MIMIDAE,,,
Mimus saturninus,Sabiá-do-campo,R/nd,(Nascimento 1995)
Mimus triurus,Calhandra-de-três-rabos,S,
MOTACILLIDAE,,,
Anthus lutescens,Caminheiro-zumbidor,R,(Nascimento 1995)
Anthus furcatus,Caminheiro-de-unha-curta,R,(Nascimento 1995)
Anthus correndera,Caminheiro-de-espora,R,(Nascimento 1995)
COEREBIDAE,,,
Coereba flaveola,Cambacica,R,(Nascimento 1995)
THRAUPIDAE,,,
Tachyphonus coronatus,Tiê-preto,R,
Thraupis sayaca,Sanhaçu-cinzento,R,(Nascimento 1995)
Thraupis bonariensis,Sanhaçu-papa-laranja,R,(Nascimento 1995)
Stephanophorus diadematus,Sanhaçu-frade,R,(Nascimento 1995)
EMBERIZIDAE,,,
Zonotrichia capensis,Tico-tico,R,(Nascimento 1995)
Ammodramus humeralis,Tico-tico-do-campo,R,(Nascimento 1995)
Donacospiza albifrons,Tico-tico-do-banhado,R,(Nascimento 1995)
Poospiza nigrorufa,Quem-te-vestiu,R,(Nascimento 1995)
Poospiza lateralis,Quete,R,(Nascimento 1995)
Sicalis flaveola,Canário-da-terra-verdadeiro,R,(Nascimento 1995)
Sicalis luteola,Tipio,R,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Sporophila collaris,Coleiro-do-brejo,R,(Nascimento 1995)
Sporophila caerulescens,Coleirinho,R,(Nascimento 1995)
Coryphospingus cucullatus,Tico-tico-rei,R,(Nascimento 1995)
Paroaria coronata,Cardeal,R,(Nascimento 1995)
CARDINALIDAE,,,
Saltator similis,Trinca-ferro-verdadeiro,R,
PARULIDAE,,,
Parula pitiayumi,Mariquita,R,(Nascimento 1995)
Geothlypis aequinoctialis,Pia-cobra,R,
Basileuterus culicivorus,Pula-pula,R,(Nascimento 1995)
Basileuterus leucoblepharus,Pula-pula-assobiador,R,(Nascimento 1995)
ICTERIDAE,,,
Amblyramphus holosericeus,Cardeal-do-banhado,R,(Nascimento 1995)
Agelasticus thilius [Agelaius thilius],Sargento,R,
Chrysomus ruficapillus [Agelaius ruficapillus],Garibaldi,R,(Nascimento 1995)
Pseudoleistes virescens,Dragão,R/nd,(Nascimento 1995)
Agelaioides badius [Oreopsar badius] [Molothrus badius],Asa-de-telha,R,(Nascimento 1995)
Molothrus bonariensis,Vira-bosta,R,(Nascimento 1995)
Sturnella superciliaris,Polícia-inglesa,R,(Nascimento 1995)
FRINGILLIDAE,,,
Carduelis magellanica (Spinus magellanicus),Pintassilgo,R,
PASSERIDAE,,,
Passer domesticus,Pardal,R,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
